"","lambda","beta","obj","risk","constraint","policy_value"
"1",0,0.05,-0.0134541264283367,-0.0134541264283367,0.200650217755745,-0.137057435295588
"2",0,0.25,-0.0134541264283367,-0.0134541264283367,0.200748200470036,-0.137276173536376
"3",0,0.5,-0.0134541264283367,-0.0134541264283367,0.200870635621061,-0.137442348692022
"4",0,1,-0.0134541264283367,-0.0134541264283367,0.201115191543868,-0.137538717419007
"5",0,1.5,-0.0134541264283367,-0.0134541264283367,0.201359033557714,-0.137686758681949
"6",0,2,-0.0148782183987045,-0.0148782183987045,0.195499667961604,-0.130623418918298
"7",1,0.05,0.165092457750823,-0.00958593170977757,0.1746783894606,-0.129276446864394
"8",1,0.25,0.165371851691859,-0.00923991630899504,0.174611768000854,-0.129555912236506
"9",1,0.5,0.16498976922437,-0.00630350180297031,0.17129327102734,-0.125170624707925
"10",1,1,0.16566570112629,-0.00514441358033973,0.17081011470663,-0.125694493880587
"11",1,1.5,0.167606709377332,-0.00632144783727828,0.17392815721461,-0.126956159139247
"12",1,2,0.168945703104685,-0.00506989802884099,0.174015601133526,-0.116174426420393
"13",2,0.05,0.301926998797886,0.0540017565418458,0.12396262112802,-0.107720436010269
"14",2,0.25,0.30735054502062,0.0361561821635151,0.135597181428552,-0.112774309589107
"15",2,0.5,0.311373922333978,0.0294368855329393,0.140968518400519,-0.114393373660844
"16",2,1,0.318282091031421,0.0264748514038715,0.145903619813775,-0.114804103645047
"17",2,1.5,0.324083259612006,0.0230420179044792,0.150520620853763,-0.116778145969138
"18",3,0.05,0.405358396042116,0.129581664401014,0.0919255772137005,-0.0939151045762743
"19",3,0.25,0.416220688451621,0.110044055552803,0.102058877632939,-0.100837794721151
"20",3,0.5,0.431227559440136,0.0748800594336955,0.118782500002147,-0.10400728957377
"21",3,1,0.447701309010428,0.0674351775327754,0.126755377159218,-0.105985400055042
"22",3,1.5,0.461261034277752,0.055100794816106,0.135386746487215,-0.110226256780155
"23",4,0.05,0.472643149374898,0.220055722661353,0.0631468566783861,-0.0850054128372417
"24",4,0.25,0.495366290612211,0.199984649058556,0.0738454103884138,-0.0864639090168225
"25",4,0.5,0.517849014108726,0.17536643385081,0.0856206450644791,-0.093929831596709
"26",4,1,0.556612078634014,0.123200135066413,0.1083529858919,-0.0982819812092839
"27",4,1.5,0.584552054125448,0.0975969348657844,0.121738779814916,-0.104647590200494
"28",5,0.05,0.495435302613496,0.392874133941235,0.0205122337344522,-0.0674858213648873
"29",5,0.25,0.538440927806545,0.321658727015095,0.04335644015829,-0.075599105847768
"30",5,0.5,0.582297629612111,0.270643851500473,0.0623307556223277,-0.0828227867277246
"31",5,1,0.649436484755288,0.174614024839125,0.0949644919832325,-0.0923875305535605
"32",5,1.5,0.69187211637611,0.15513941816791,0.10734653964164,-0.0969252555415328
"33",5,2,0.733224272396585,0.0951292766923539,0.127618999140846,-0.104182326937994
"34",6,0.05,0.508037782561648,0.487531871642319,0.00341765181988823,-0.0598218590075133
"35",6,0.25,0.559957698848732,0.443629789203495,0.0193879849408728,-0.0649521742291101
"36",6,0.5,0.62550242906231,0.388996879828582,0.0394175915389547,-0.0811611019424752
"37",6,1,0.72635355289784,0.239640745175586,0.0811188012870422,-0.0852961359221883
"38",6,1.5,0.792597195065181,0.196447037702942,0.0993583595603732,-0.0928551659074001
"39",6,2,0.847714600376615,0.137063910267305,0.118441781684885,-0.100141378744844
"40",7,0.05,0.505715059449682,0.567111769738053,-0.00877095861262441,-0.0510603508331776
"41",7,0.25,0.573566184391164,0.524743479442162,0.00697467213557161,-0.059441649574285
"42",7,0.5,0.654559232476817,0.479868327314739,0.0249558435945825,-0.0679426059019825
"43",7,1,0.787748593059409,0.325439503853514,0.0660441556008422,-0.0817383258548408
"44",7,1.5,0.887181177258056,0.216781330431681,0.0957714066894821,-0.0915165003499745
"45",7,2,0.960945952727391,0.145618910747638,0.116475291711393,-0.103035818986165
"46",8,0.05,0.495257272610565,0.626414023724218,-0.0163945938892066,-0.0462587716436078
"47",8,0.25,0.575690756192916,0.589220963811116,-0.00169127595227501,-0.0539598034161708
"48",8,0.5,0.672625218477568,0.543588734902153,0.0161295604469268,-0.0619319839064799
"49",8,1,0.842131065816289,0.405350350213152,0.0545975894503921,-0.076585264885934
"50",8,1.5,0.966293568232685,0.227494006140404,0.092349945261535,-0.0917027540246747
"51",8,2,1.05668274415444,0.216287239543137,0.105049438076413,-0.0939066997650745
"52",9,0.05,0.47805006769598,0.682938963923882,-0.0227654329142114,-0.0403911175766057
"53",9,0.25,0.572290968945143,0.644561392540758,-0.00803004706617938,-0.0488229225586013
"54",9,0.5,0.685517444615097,0.59204189449285,0.0103861722358052,-0.058033510534198
"55",9,1,0.889176535494429,0.468913638335497,0.0466958774621036,-0.0724131225776521
"56",9,2,1.15722122724417,0.23100760639767,0.1029126245385,-0.0928618329279805
"57",10,0.05,0.456338657099389,0.737092981617058,-0.0280754324517669,-0.0368540232106543
"58",10,0.25,0.563887270052149,0.692303953649768,-0.0128416683597619,-0.0446985161055284
"59",10,0.5,0.694331179595426,0.652742023207939,0.00415891563874872,-0.0525326332221836
"60",10,1,0.927524552013537,0.53689692914861,0.0390627622864927,-0.0694672907339972
"61",10,2,1.24949298367767,0.283704834397432,0.0965788149280234,-0.0879903604221335
